Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-02-01,941.75,2021-02-01,946.67,956.09,940.85,936.14,931.43,924.73,Awaiting Targets
2021-02-03,981.45,2021-02-02,955.65,942.9,965.66,972.69,980.67,988.41,Final Target Reached
2021-01-01,388.1,2020-12-30,384.7,389.77,381.57,379.04,376.5,372.9,Target 1 Reached
2021-01-14,454.35,2021-01-14,450.59,466.14,440.97,433.2,425.43,414.36,Awaiting Targets
2021-01-20,947.7,2021-01-19,942.55,956.47,933.93,926.97,920.01,910.1,Target 1 Reached
2021-01-21,445.8,2021-01-21,448.29,440.09,454.72,459.24,464.37,469.35,Awaiting Targets
2021-01-01,527.5,2021-01-01,531.54,541.44,525.42,520.46,515.51,508.47,Awaiting Targets
2021-01-08,542.05,2021-01-07,546.85,540.94,551.48,554.74,558.44,562.03,Stop Loss has occured
2021-01-11,544.7,2021-01-11,542.71,546.97,540.07,537.95,535.82,532.78,Awaiting Targets
2021-01-13,556.5,2021-01-13,554.31,550.96,556.94,558.79,560.88,562.92,Awaiting Targets
2021-01-19,546.45,2021-01-15,546.38,550.53,543.81,541.73,539.66,536.7,Final Target Reached
2021-01-20,551.0,2021-01-20,549.51,544.68,553.31,555.97,559.0,561.93,Awaiting Targets
2021-01-01,469.3,2020-12-24,452.22,446.41,456.78,459.98,463.62,467.15,Final Target Reached
2021-01-05,471.25,2021-01-05,469.77,471.75,468.55,467.56,466.58,465.17,Awaiting Targets
2021-01-13,491.7,2021-01-13,495.97,501.55,492.52,489.73,486.94,482.97,Awaiting Targets
2021-01-22,566.95,2021-01-22,577.21,597.29,564.79,554.75,544.71,530.41,Awaiting Targets
2021-02-02,566.3,2021-02-02,554.2,534.69,569.51,580.27,592.48,604.33,Awaiting Targets
2021-01-01,5241.35,2020-12-30,5174.09,5203.21,5156.07,5141.51,5126.95,5106.22,Stop Loss has occured
2021-01-05,5286.9,2021-01-04,5270.48,5246.44,5289.36,5302.62,5317.67,5332.28,Final Target Reached
2021-01-07,5270.9,2021-01-07,5287.48,5317.1,5269.15,5254.34,5239.53,5218.44,Awaiting Targets
2021-01-25,5082.4,2021-01-22,5044.0,4971.0,5101.3,5141.55,5187.26,5231.6,Target 1 Reached
2021-02-03,4649.55,2021-02-03,4633.14,4515.43,4725.55,4790.46,4864.16,4935.67,Awaiting Targets
2021-01-01,116.35,2021-01-01,115.72,117.64,114.53,113.57,112.6,111.23,Awaiting Targets
2021-01-12,127.45,2021-01-12,128.28,131.18,126.48,125.03,123.57,121.51,Awaiting Targets
2021-01-20,121.25,2021-01-20,121.05,117.83,123.58,125.35,127.37,129.33,Awaiting Targets
2021-02-01,108.85,2021-02-01,107.27,104.49,109.44,110.97,112.71,114.4,Awaiting Targets
2021-01-01,1480.35,2020-12-30,1426.23,1449.27,1411.98,1400.45,1388.93,1372.53,Stop Loss has occured
2021-01-06,1415.45,2021-01-06,1425.34,1440.63,1415.88,1408.23,1400.58,1389.7,Awaiting Targets
2021-01-08,1524.55,2021-01-08,1524.37,1495.88,1546.74,1562.46,1580.3,1597.61,Awaiting Targets
2021-01-18,1584.65,2021-01-18,1607.24,1651.15,1580.07,1558.12,1536.16,1504.9,Awaiting Targets
